kings	Karalis.
prete	Pretī.
sakts	Sakta.
ņātra	Nātres ("Urtica").
trešs	Trešais.
činka	Uzmācīgs, neatlaidīgs, tāds, kas kaulējas, uzplijas.
ķeste	Viens no diviem 2-3 m gariem kokiem siena gubu nešanai.
zvīns	Zvīņa.
kņāvs	Kāda kaiju suga.
sbirs	Sākotnēji - Inkvizīcijas tiesas zemāka ranga kalpotājs.
klīja	Klija.
točna	Noteikti; patiešām.
sinis	Dzērājs.
dārda	Pļāpa, tenkotājs.
ķērza	Pļavas ķērsa ("Cardamine pratensis").
hevea	Hevejas.
metns	Veikls.
ļeras	Tukšas runas.
konis	Konjaks.
dūcka	Tāds, kas visu laiku lamājas un dauzās.
gulus	Guļus.
vemas	Vēmekļi.
rīkle	Orgāns, kurā krustojas gremošanas un elpošanas ceļi.
šņupe	Šņukurs.
blūzs	Lirisks, melanholisks Amerikas nēģeru vokālās mūzikas žanrs.
naiza	Nieze, kašķis.
mīnus	Starp diviem skaitļu apzīmējumiem norāda, ka otrais skaitlis atņemams no pirmā; skaitļa apzīmējuma priekšā norāda uz negatīvu lielumu.
skara	Ķekars, kura galvenajai asij ir sānu asis ar vienkāršas vārpas vai ķekara uzbūvi.
dezis	Dezodorants.
viļņa	Vilnis 1.
kauba	Kalna gals.
dēlis	Dēls.
vanga	Vangačakstu dzimtas ģints.
aulis	Cilvēks, kas dej, trako, lēkā; skrien auļiem.
trušs	Trusis - zaķu dzimtas mājdzīvnieks.
ausle	Ausleja.
līcas	Lieli ledus gabali.
plācs	Ratu rāmja gala koki, pie kā piestiprinātas asis.
auzas	Graudzāļu dzimtas labības augu ģints ("Avena"), viengadīgs lakstaugs, 25 sugas, Latvijā konstatētas 2 sugas.
garde	Izliekts metāla vairodziņš špagas, rapiera roktura priekšā vai loks pie zobena roktura, lai paukošanā vai kaujā pasargātu roku no ievainošanas.
zvīļš	Tāds, kas zvīļo, tāds, kam raksturīgs zvīļojums.
nasks	Čakls, izdarīgs, arī ātrs.
pušča	Gārša - biezs, grūti caurejams liels meža masīvs (Baltkrievijā un Polijā).
bidta	Lieto, lai piešķirtu vārdam, izteikumam nenoteiktības, šķietamības niansi.
peiza	Kaudze, liels skaits.
linta	Rijā kopā sastumti ārdi, kur seru uzlikt.
kolas	Kakaoaugu ģints, mūžzaļi, līdz 20 m augsti koki, tropiskajā Āfrikā, ~125 s.
kaupa	Kākaulis ("Clangula hyemalis"), vidēja lieluma zosveidīgo kārtas pīļu dzimtas putns ar īpatnēju, pīlei neraksturīgu melodisku balsi.
sopka	Kalns ar ieapaļu vai konusveida virsotni (Aizbaikālā, Tālajos Austrumos).
naīna	Liess, nodzīts zirgs.
cieks	Sieks.
smogs	Intensīvs lielu pilsētu un rūpniecības centru gaisa piesārņojums; dūmu, gāzu, miglas u. tml. kopums, kas veido šādu piesārņojumu.
melda	Kāda augu suga ar garām, asām lapām.
agara	Agars.
calla	Cūkauši.
metla	Mēle.
čirka	Neliels daudzums.
segue	Turpināt, turpināt tāpat tālāk; turpinājums sekos.
vonis	Dzīvoklis.
ginks	Augu valsts sēklaugu apakšvalsts kailsēkļu nodalījuma klase ("Ginkgoopsida"), cēlusies no sēklpapardēm, atliekas atrastas perma nogulumos līdz krīta periodam.
hedya	Tinēju dzimtas ģints.
plece	Plecs.
avens	Auns.
narva	Netīrumu kārta uz cūkas muguras.
ošķis	Okšķeris (1).
sveda	Balandu dzimtas sālszāļu apakšdzimtas ģints ("Suaeda"), viengadīgi lakstaugi (ārpus Latvijas arī puskrūmi), ziedi divdzimumu, sakopoti kamoliņos pa 1-5 lapu žāklēs, ~100 s., Latvijā konstatētas 3 reti sastopamas adventīvas sugas.
radne	Radiniece; radniecība; radi.
cvets	Kriminālvide.
posts	Postenis.
terza	Pļāpīgs cilvēks; pļāpa.
irena	Zilvālodžu dzimtas ģints.
krāma	Liksta, nelaime, slimība.
biezs	Tāds, ko veido daudzi, ļoti tuvu cits pie cita novietoti vienveidīgi priekšmeti, sastāvdaļas; pretstats: rets.
knifs	Kāds punkts, daļa (jautājumā, uzdevumā), kur risināšanā, atbildē nepieciešama atjautība, apķērība, arī asprātība.
uzūra	Norobežots kaulaudu vai skrimšļaudu defekts kā ilgstošas mehāniskas slodzes sekas.
atēna	Neskaidrs atspoguļojums; tikko jaušama ēna.
plīks	Lieto, lai atdarinātu paklusu troksni, kas rodas, piemēram, šķidruma lāsēm atsitoties pret ko vai kādam priekšmetam atsitoties (parasti) pret ko šķidru, mīkstu vai arī saskaroties ar to.
nausa	Virszemes apbedīšanas celtne, kurā novietoja osuārijus vai tikai mirušā kaulus, tos neierokot zemē, cēla zoroastrisma piekritēji, jo šī reliģija aizliedza mirušos apglabāt zemē.
blese	Liela auguma, dūšīga sieviete.
dūsma	Skaņa, troksnis, rūkoņa, svilpoņa.
mītne	Mīta (ģērēta) āda.
dārzs	Īpaši ierīkots zemes gabals dažādu sugu, šķirņu kultūraugu (piemēram, dārzeņu, augļaugu, krāšņumaugu) audzēšanai; īpaši ierīkots zemes gabals vienas sugas, šķirnes augļaugu audzēšanai.
smērs	Ziede.
pīķis	Duramais ierocis - garā kātā nostiprināts smails asmens.
gaužs	Tāds, ko izraisījis sāpīgs pārdzīvojums, sarūgtinājums, pārestība u. tml.; tāds, kas ļoti sāpina, sarūgtina.
lumme	Alks.
celka	Jaunava, nevainīga meitene.
truša	Cūka, netīrelis.
ņerma	Skranda, lupata.
ņugla	Drūzma, burzma.
kolka	Pūču vanags.
sūcis	Sūce.
swida	Grimoņi.
tuļpa	Pēc Tibetas jogu domām, cilvēka iztēles radīts redzams un pat sajūtams tēls, ko okulisti parasti dēvē par domas materializāciju.
krikš	Lieto, lai atdarinātu īslaicīgu, asu, paklusu troksni, kas rodas, piemēram, ja kas ciets saskaras ar ko vai tiek spiests, liekts, lauzts.
sveķe	Savienojumā "skudru sveķe" - skudru pūžņa sveķi.
poļza	Labums, derīgums.
ābice	Ābece, ābečnieks.
geoda	Žeoda - ieapaļš minerālagregāts, liela sekrēcija, veidojas pilnīgi vai daļēji aizpildoties noslēgtiem tukšumiem iežos.
podze	Starainajiem kurvjziežiem piederīgs augs - ļoti zarainu stublāju, pretējām, kātainām, olējādām lapām, blietējādām (lancetiskām) augšlapām, īsiem, baltiem, lielāko tiesu 5 mēles ziediem, dzelteniem vidus ziediem.
blīve	Speciāls ielikums, starplika, kas veido ciešu divu detaļu savienojumu.
fogts	Amatpersona (viduslaikos Livonijā, Vācijā) ar dažādām funkcijām (piemēram, pils un pils novada pārvaldītājs, tiesnesis, soģis).
rutks	Kāpostu (krustziežu) dzimtas pērkoņu ģints suga ("Raphanus sativus"), viengadīgs vai divgadīgs augs ar (parasti) plūksnaini šķeltām lapām, baltiem, iesārtiem vai violetiem ziediem, apaļām, ovālām vai iegareni koniskām baltām vai melnām saknēm.
zapas	Veci, noplīsuši apavi.
farts	Veiksme.
gadze	Zoss.
gaurs	Tīruma gauris ("Spergula arvensis").
doņņa	Pilns vēders (bērnu runā).
dūzme	Flautas skaņas.
riece	Rice.
derra	Dusmīgs, kašķīgs cilvēks.
daube	Grava, aiza.
zvāls	Vāls.
ļenca	Tīkls.
kubla	Kubls (1).
tačka	Ķerra 1; stumjams transportlīdzeklis ar vienu riteni.
bubns	Kāravs.
softs	Programma.
gļēma	Ļengans, kūtrs cilvēks, kas kūtri strādā vai ēd bez gribas; glēma 1(1).
porka	Ķildīgs cilvēks.
žencs	Izskalots gliemežvāks.
stipa	Kaviļa.
krojs	Piegrieztne.
hosta	Hostas 1.
lygus	Mīkstblakšu dzimtas ģints.
celts	Instruments, darbarīks.
delme	Diloņslimnieks.
vulva	Sievietes ārējie dzimumorgāni - lielās un mazās kaunuma lūpas, maksts priekštelpa un kuteklis.
gļits	Glums, jēls.
opijs	Gaisā sažuvusi miega magones nenogatavojušos pogaļu sula, kas satur alkaloīdus (piemēram, morfīnu, kodeīnu).
ļurka	Ļodzīgs, mīksts.
aukla	Samērā tievs šķiedru savijums; arī resns pavediens.
šaima	Lūku valgs.
gulte	Gulta.
ārine	Āriene.
nešļa	Nešļava.
pikts	Tāds (cilvēks), kam ir dusmas; dusmīgs (1).
benčs	Jūras terase - no klinšainiem iežiem veidojusies šaura terase, piekrastes zonas reljefa forma; abrāzijas terase.
harča	Spļāviens.
kļera	Klaidonis, blandoņa.
cilda	Cēlums 2.
īksts	Rīkste.
murde	Murds.
zalba	Kaite, ķermeņa bojājums, brūce, sāpes.
upača	Istaba.
traks	Smagais automobilis (angļu "truck").
vīšņa	Ķirsis.
gaibs	Pļāpa, pārlieku liels runātājs; vējgrābslis; gaiba.
naujs	Dedzīgs uz kaut ko.
rāģis	Radiouztvērējs.
lēkša	Mīksta, savelta vilnas, sniega, mēslu u. c. pika; kušķis, pušķis, šķipsna.
tukas	Raudzības.
bukva	Burts.
casus	Gadījums, nejaušība; tiesībās - zaudējums, kas noticis bez kādas personas vainas vai bez ļauna nolūka.
čerka	Glāze degvīna.
raits	Jāšus.
lēlis	Putnu klases lēļveidīgo kārtas dzimta ("Caprimulgidae"), 19 ģ, 75 s.
purms	Purva purene ("Caltha palustris").
spīna	Gara, tieva, lokana rīkste, stiba.
mylia	Mīlijas.
glote	Gluma, slidena masa.
tuaze	Franču garuma mērs, vienāds ar 1,949 m.
usnea	Usnejas.
svāts	Precinieks.
noara	Apstrādāts zemes gabals, ko izmanto par pļavu.
timsa	Tumsa (augšzemnieku izloksnēs).
blūds	Klaiņotājs; klaidonis.
čubas	Cisas.
stāvs	Vertikāls vai gandrīz vertikāls; tāds, kam ir samērā mazs slīpums.
kurne	Kurmis.
pākša	Pupa.
ņičja	Neizšķirts (sporta spēlēs).
orūds	Apcirknis.
kodis	Kode.
šņaga	Nevajadzīga lieta.
gāzma	Spēcīga (lietus) līšana, spēcīgs lietus; spēcīga (vēja) brāzma.
šļuks	Raksturo nejaušu izslīdēšanu.
pāzis	Iezis.
kunis	Labības kulīša apakšgals.
kulba	Rati, ragavas ar segtu virsu.
rezba	Zāģa griezuma vieta kokā.
natte	Audums no merserizētas kokvilnas ķemmdzijas zīda vai mākslīga zīda panamas pinumā.
svīts	Svīta 3.
ojāgs	Troksnis, tracis, kņada.
melša	Melis; arī pļāpa.
stupe	Nodeldētas zaru slotas atlikusī daļa.
teija	Tēja.
šaure	Šaurums, šaura starpa.
kažns	Katrs.
kaika	Nievājošs apzīmējums cilvēkam, sevišķi tādam, kam liels augums un garš kakls.
apsis	Apse.
reste	Restes.
plate	Plakans, parasti gluds, taisnstūrveida (dažāda materiāla, piemēram, koksnes, metāla) veidojums, ko izmanto par izejmateriālu (kā) izgatavošanai; arī plātne (1).
poika	Ielāps.
znots	Meitas vīrs.
gūris	Sliņķis.
konus	Konuss.
rukts	Rutks.
burga	Veca, sakritusi būda, patvērums.
tarka	Rīve.
burka	Stiprs, plecīgs jauneklis, vīrietis.
ciels	Liels.
kapļa	Lāse.
ķurza	No koka mizas pagatavots trauciņš ogu lasīšanai.
burča	Burtnīca.
biška	Neliels kā daudzums.
raģes	Ragavas.
jucis	Ārprātīgs, plānprātīgs.
plade	No rupja maluma (parasti kviešu) miltiem cepts (plāns, plakans) neraudzēts plācenis.
kraņa	Vecs noliesējis zirgs.
ilkss	Viena no divām kārtīm, kas piestiprinātas pie ratiem vai ragavām zirga iejūgšanai.
sērma	Sarma.
paika	Ēdiens, uzturs.
ščots	Rezultāts (sporta spēlē).
dzēļš	Dzēlīgs.
piepa	Piepe.
peņķe	Nepatīkama nodarbošanās.
afēra	Negodīgs, arī bīstams pasākums; blēdīgs darījums.
ūpīts	Dem. --> ūpis.
drova	Lupatas, avīzes, ko cietumnieki izmanto lai kamerā uzvārītu tēju.
sūmis	Ārlaulības bērns.
žacka	Nenoteikta blīvuma (darvai līdzīga) masa.
panka	Liels istabas vēdeklis Indijā, ar katūnu apvilkts koka aptvars, pakarināts pie griestiem, kuru karstā laikā kalpotāji kustina.
livra	Agrākā franču svara vienība 489,5 g, līdz 1840. g. arī 1/2 kg.
farma	Ferma.
zauka	Dzērājs, žūpa.
dvars	Taisnais leņķis starp kuģa diametrālo plakni un kuģa sāna virzienu uz attiecīgo priekšmetu.
šņits	Piegrieztne.
breča	Brekčija - iezis, kurā sacementējušies šķautnaini nogulu iežu un vulkānisko iežu gabali.
liārs	Franču sudraba sīka naudas vienība, 3 denjē.
takts	Smalkjūtība, mēra izjūta, citu cilvēku respektēšana.
melns	Tāds, kas absorbē visu gaismas starojumu, tāds, kam ir, piemēram, sodrēju krāsa; tāds, kam ir ļoti tumšs kādas (parasti pelēkas, brūnas) krāsas tonis; pretstats: balts.
pāpis	Sāpīga vieta, brūce, pušums (sarunā ar bērniem, arī bērnu valodā).
ginta	Radinieks, rads; radu kopums; saime; ģentis.
vjāna	Ezoterismā speciāls avots, kas piegādā enerģiju visam ķermenim, vīriešiem tas esot saistīts ar prostatas centru.
vāļis	Savienojumā "kučkis - vāļis" raksturo steigā veiktas darbības.
konts	Grāmatvedības forma, paņēmienu kopums (piemēram, uzņēmuma, iestādes) finansiālo operāciju sistemātiskai uzskaitei un kontrolei.
trūde	Darbība, process, arī rezultāts --> trūdēt.
biste	Cilvēka ķermeņa augšdaļas skulpturāls attēls; krūšutēls.
naūra	Mezopotāmijā liels smeļamais rats zemes apūdeņošanai.
ķērce	Dumbrājs.
bezda	Vēdera gāzu noplūde.
ksive	Blēžu žargonā slepena sarakste cietumnieku vai cietumnieku un ārpus cietuma esošu personu starpā; kasibers.
jomis	Jumis.
melne	Melna vadmala; melle.
žvikš	Lieto, lai aprakstītu pēkšņu, ātru kustību.
zvejs	Zvejnieks.
bukts	Iegludināta vīle (biksēm).
vēsms	Vēss.
tarks	Stārķis, gandrs.
pītne	Ēdiens no kaņepēm un sagrūstiem zirņiem vai pupām.
jātrs	Ātrs.
dulus	Palmčivuļi.
kņeda	Kņada.
plogs	Arkls.
alūns	Sērskābā alumīnija un sērskābā kālija dvīņsāls.
kvasa	Kvass.
rubus	Kazenes.
valks	Valgs, velgans, trekns.
ģička	Viegla, šaura laiva airēšanas sacensībām; kuģa laiva ar gariem airiem.
žoste	Mērce.
brožs	Drukns, plecīgs, miesās apjomīgs.
teibe	Forele.
lauka	Panīkusi sieviete.
gaide	Medījamā dzīvnieka gaidīšana, medniekiem atrodoties slēptā vietā.
talma	Garš sieviešu apmetnis bez piedurknēm.
maika	Vīriešu apakškrekls.
ķilpa	Cilpa.
padje	Beznoteces vai īslaicīgas noteces kalnu ieleja, aiza, starpkalnu pazeminājums Sibīrijā vai Tālajos Austrumos.
delna	Plaukstas apakšējā daļa.
smāde	Nopēlums.
rinda	Vienā līnijā novietots, novietojies (cilvēku vai dzīvnieku) kopums.
halva	Konditorejas izstrādājums - saldvielu un sasmalcinātu eļļas augu kodolu masa.
siena	Telpas vai telpiska veidojuma vertikālais (ārējais vai iekšējais) konstruktīvais norobežojums.
doucs	Duncis.
birzs	Aruma un sējuma platības mērvienība (zemes gabals, ko var apart vienā cēlienā bez zirga pūtināšanas).
dzila	Zīle.
zvīga	Skaļi smiekli.
lumža	Neveiklis.
kuzis	Maza zivs, kas dzīvo dūņainos ezeros.
šašks	Dambrete.
bocis	Koka trauks, kur grūž (sasmalcina) un uzglabā sāli.
fizra	Fizkultūra (mācību priekšmets).
vizns	Mirgojošs, gaišs, spīdīgs.
trūve	Sēras (par kāda nāvi).
pengs	Nauda.
aldas	Aldīnas - 15.-16. gs. grāmatmākslas paraugi.
silis	Sila virsis ("Calluna vulgaris").
šļema	Cilvēks, kas ēd izrakņādams labākos kumosus no ēdiena.
alods	Zemes pilnas īpašumtiesības atšķirībā no zemes nosacītas turēšanas.
jauls	Jahtu takelējuma tips ar diviem mastiem - grotmastu un bezānmastu.
babka	Neliela lakta izkapts kapināšanai.
varfs	Varfa.
ikona	Romas katoļu un Pareizticīgo baznīcas svētbilde.
burgs	Miestiņš; pilsētiņa.
pieča	Piektdienā dzimusi govs.
ķērpa	Siena, labības žāvējamais koks - paresns stumbrs ar apcirstiem zariem.
smoks	Smogs.
ankhs	Populārs, okults, maģisks dzīvības simbols (krusts ar cilpu).
liška	Pļāpa.
ūtris	Otrs.
čizna	Parastais biškrēsliņš ("Tanacetum vulgare").
irģis	Zobgalis, nievātājs, ņirga; irga.
stars	Šaura redzama gaismas izplatīšanās josla.
lužas	Slēpes.
žebrs	Plankumains, raibs.
klada	Cietums.
švika	Savienojumā ar "švaka" lieto lai aprakstītu ritmiskas skaņas, piemēram, zobenu šķindoņu.
bomžs	Bezpajumtnieks; klaidonis; bomzis.
svīds	Ausma.
droga	Drogas.
ļaune	Kaut kas ļauns.
drošs	Drosmīgs; tāds, kas izturas brīvi, nepiespiesti (par cilvēku).
tamps	Troses vai virves gals; arī īss gals.
kumps	Tāds, kam ir kumpa (par ķermeņa daļu).
svire	Svīre ("Apus apus").
čīsla	Zaraina vieta vai saaugums malkas pagalē, kas traucē to saskaldīt.
eross	Fiziska, seksuāla mīlestība, tieksme, alkas, iekāre.
ruzga	Nemierīgs cilvēks, palaidnis.
paade	Lūku pazoles vīzēm; paada; paade.
šķūna	Šķūnis.
šloka	Nobradāta zāle vai labība, sliede.
blods	Vadātājs.
uhars	Cilvēks, kas noklausās.
plida	Sīka, plāna upes zivs.
gamme	Gamma.
teķis	Aitu tēviņš.
atals	Atāls.
bigne	Krūmi, aizaugušas, neiztīrītas vietas; biežņa.
kvite	Cidonija.
varka	Vienā gatavošanas reizē iztecināts pašdarināts degvīns, alus.
žmeks	Paskops cilvēks.
trīde	Ķilda, strīds.
galea	Seno romiešu bruņu cepure.
cadra	Pasviļņu dzimtas ģints.
nenna	Dzēriens (bērnam, zīdainim).
ilkse	Ilkss 2.
palma	Viendīgļlapju klases apakšklase ("Arecidae"), iedala 3-5 rindās.
dakte	Dakts.
abpus	Vienā pusē un otrā pusē, abās pusēs.
ņerva	Nemierīga, muļķīga, nevaldāma persona.
saida	Liela mencveidīgo kārtas zivs (Atlantijas okeāna ziemeļu rajonos) ar trim muguras un divām anālām spurām.
pļeks	Raksturo troksni, kāds rodas krītot kaut kam smagam vai mīkstam.
tušņa	Bezpalīdzīgs, lēns, tūļīgs cilvēks.
jaule	Jau.
biķis	Koka stampa kāpostu stampāšanai.
počka	Mazs bērns, kas vēl nestabili staigā.
tilpe	Savienojumā ar "ūdens": ūdenstilpe.
ķebls	Mikls, valgans, lipīgs.
učene	Skola.
plāts	Lēzens, plakans.
učiks	Skolotājs.
semts	Samts.
veiše	Lūk te!
burve	Zintniece, kam piemīt spēja ar skatienu vai ar vārdiem darīt labu vai ļaunu; pareģe; ragana; spīgana; viegle.
mants	Materiālās vērtības; bagātība.
spars	Dedzība, neatlaidība (darbībā, rīcībā).
beice	Kodne, kodinātājs.
ļoļļa	Daudzēdis.
rakņa	Tas (tā), kas rakājas, rakņājas.
asins	Asinis.
sakte	Sakta.
folia	Veca portugāliešu deja trīsdaļtaktī.
lasks	Netīrs, notašķīts.
šķīrs	Matu celiņš.
leuša	Kreiļa kreisā roka.
kirza	Blīvs, daudzslāņains, ar īpašu vielu piesūcināts audums - ādas aizstājējs (piemēram, apavu rūpniecībā).
kosms	Kosmoss.
iesms	Nūja, stienis, kuram viens vai abi gali ir nosmailināti un kuru parasti izmanto, lai ko uzdurtu cepšanai uz uguns.
hedžs	Nodrošināšanās hedžs - biržas termiņdarījums ar reālu preci, kas nodrošina pirkšanas un pārdošanas darījuma partnerus pret iespējamo cenu celšanos un valūtas kursa svārstībām.
skene	Scēna.
zģecs	Neveiksme; nepatikšanas.
vaile	Lieto, lai izteiktu dažādas sajūtas (piemēram, prieku, sajūsmu, bailes, sāpes, bēdas).
sekls	Tāds, kam ir neliels dziļums (par ūdenstilpēm, bedrēm, aizām u. tml.); pretstats: dziļš.
kvīte	Kvīts.
diods	Diode.
negla	Nagla.
gagea	Zeltstarītes.
īstrs	Niere, nieres.
cērpa	Zemes čupiņa, cinis.
stabs	Vertikāli kādā pamatnē iestiprināts baļķis vai tam pēc formas līdzīga konstrukcija.
klaķe	Plaukšķināšana.
baigs	Ļoti liels (par reāliem objektiem).
kaita	Spēle, rotaļa, joks.
jauks	Tāds, kas izturas laipni, sirsnīgi; tāds, kam ir patīkama, pievilcīga āriene (par cilvēku).
hamsa	Anšovs - sīka siļķveidīgo kārtas jūras zivs, izmanto pārtikas rūpniecībā.
stiķs	Steks 3.
spams	Elektroniskais surogātpasts - nesankcionētas reklāmas surogātvēstules elektroniskajā pastā.
derma	Ādas saistaudu slānis, kas atrodas zem epidermas.
maiga	Jūsma, prieks, laimība.
velgs	Valgs.
šļuts	Platcirvis.
klubs	Biedrība, kurā apvienojušies noteiktu aprindu, vienas profesijas, tautības, kopīgu interešu cilvēki, lai biedrības telpās pavadītu brīvo laiku, organizētu dažādus pasākumus, nodarbotos ar sportu u. c.
šķēps	Duramais vai metamais ierocis - samērā garš stienis ar uzasinātu galu vai smailu uzgali.
svīka	Svītra.
dāsas	Senindiešu mitoloģijā - dieviem naidīgi dēmoni, kā arī ciltis, kas negodāja dievus, t. i. neārieši.
dusme	Dusmas.
ninne	Dzēriens.
šķibs	Trausls.
švīte	Svīta 2.
cucis	Suns (parasti bērnu valodā).
sopes	Sāpes.
plode	Bieza miza, no kuras darināja bērnu rotaļlietas.
bimbs	Pulkstenis.
vigna	Govju zirņi ("Vigna sinensis") - viengadīgs tauriņziežu dzimtas augs, sens dienvidu zemju kultūraugs, audzē gk. Āfrikā, Meksikā, ASV, Indijā, Vidusjūras zemēs.
āžuks	Dem. --> āzis.
nucka	Blēdīga meitene.
ašera	Vecajā Derībā - zaraini vai nodarināti kulta stabi tempļos.
džuse	Meitene; sieviete.
zilts	Maltas gaļas galerts.
dvaša	Elpa (1).
jaušs	Tīšs, ar nolūku.
ārējs	Tāds, kas atrodas ārpusē un norobežo (ko) no apkārtējā.
dubls	Ikviens kāda kadra uzņēmums, kas izdarīts, neapstādinot kameru.
tpruš	Lieto, labinot govi.
kriša	Jumts.
lapsa	Plēsēju kārtas suņu dzimtas suga ("Vulpes vulpes"), vidēja lieluma dzīvnieks ar smailu purnu un garu, kuplu asti.
bebrs	Zīdītāju klases grauzēju kārtas dzimta ("Castoridae"), lieli drukni grauzēji ar saplacinātu, kailu asti un īsām kājām, dzīvo alās vai virszemes mītnēs, labi peld un nirst, 1 ģ., 2 sugas, Latvijā konstatēta 1 ģ., 1 s.
baice	Īsa, resna pātaga.
doira	Sitamais mūzikas instruments, līdzīgs tamburīnam.
purna	Purns.
ietve	Speciāli izveidota, parasti mazliet paaugstināta (ielas, ceļa, tilta u. tml.), daļa gājēju kustībai (līdztekus brauktuvei).
baisa	Drūma, nomācoša izjūta, pārdzīvojums; baigums.
kudla	Pinkaina, savēlusies spalva dzīvniekiem.
skāda	Skāde.
binde	Pārsējs; marles saite.
semis	Puse.
arods	Apcirknis labības glabāšanai.
lopsa	Lapsa.
sunds	Soma, nasta.
ļanka	Bikšturu lence.
kopla	Strofiskā forma spāņu dzejā, kas sastāv no 12 rindām, kuras ar atskaņu palīdzību sadalītas divās sešrindēs, turklāt 3. un 6. rinda īsāka nekā pārējās.
stoss	Spēļu kārtis.
piesa	Šķiltavu piepe, ķimpene.
slaka	Grupa, kārta (parasti sabiedrībā).
ačoks	Tualete, tualetes pods.
ciesa	Graudzāļu dzimtas ģints ("Calamagrostis"), daudzgadīgs augs ar garu stiebru un gariem ložņu sakneņiem, ~150 s., Latvijā konstatētas 6 sugas.
pumpe	Pumpis 1.
zieža	Ķēpa, smulis.
bogns	Īgns, saīdzis, sapīcis, nelaipns.
holds	Platības mērs Ungārijā, kas vienāds ar 0,4316 ha vai 0,5755 ha (kadastra holds).
ķesis	Ķildnieks, kasīklis.
kreņa	Govs mēslu pļecka.
pļara	Lamuvārds.
zumpa	Peļķe, vircas bedre.
abuze	Aizmāršīgs cilvēks.
mošks	Spoks.
haijs	Milzīga rijīga jūras zivs.
gūzma	Liels daudzums (cilvēku, arī dzīvnieku), kas sablīvējies vai sablīvēts cieši vienkopus; drūzma.
džems	Ievārījums, kurā augļi vai ogas ir biezā, sarecējušā sīrupā.
žeira	Raudulīgs cilvēks.
tītas	Spītība.
zelve	Kaut kas ļoti nelāgs, rūgts.
zuņģe	Līkums, robs.
venga	Dzelzs lāpsta ar koka kātu.
paste	Pasts.
vilne	Vilnis.
bests	Mošeju, ārvalstu vēstniecību, augstāko garīdznieku māju neaizskaramība Irānā; pēc senas paražas pret personu, ko vajā varas iestādes un kas meklējusi patvērumu šajās vietās, nedrīkst lietot varas līdzekļus.
viess	Viesis.
asīze	Viduslaikos Rietumeiropā - kādas padomes vai tiesas svinīga sēde, kā arī tajā pieņemtie lēmumi.
trune	Puve.
buļva	Kartupelis.
bezde	Smakojošu vēdera gāzu noplūde.
avans	Avens, aitu tēviņš.
kļuka	Netīrumi.
truļš	Truls 1, neass.
čebes	Žibulītis ("Euphrasia").
anika	Jēdziens budismā, kas apzīmē visai eksistencei raksturīgo nenoturību un mainīgumu.
renga	Japāņu klasiskās dzejas žanrs, kas radās kā sacensība improvizācijas mākslā, kur vairāki dalībnieki tematiski papildina iesākto pa 2 vai 3 rindām, kamēr pietiek spēka un iedvesmas.
osaka	Asaka.
skuta	Meža biezoknis.
kļeva	Kļava.
hiēna	Zīdītāju klases plēsēju kārtas dzimta ("Hyaenidae"), samērā lieli dzīvnieki (ķermeņa gar. 55-165 cm, masa - 10-80 kg), parasti dzīvo atklātos līdzenumos (pustuksnešos, tuksnešos), izplatīti Āfrikā un Dienvidāzijā, 3 ģ., 4 s.
dajoš	Dod! Gādā! Sāc (ko darīt)!
dulbe	Puļķis.
vilgs	Tāds, kas ir uzsūcis, satur mazliet šķidruma, tvaika, arī mitrs; valgs 2.
pasts	Iestāde, organizācija, kas kārto sūtījumu (korespondences, periodisku izdevumu, naudas pārvedumu, īpaši noformētu saiņu, bandroļu) regulāru nogādi noteiktai personai, iestādei, organizācijai u. tml., celtne, telpas, kur darbojas šāda iestāde, organizācija.
dzega	Līmenisks, retāk liekts vai lauzīts, izlaidums ēkas ārsienā (starp sienu un jumtu, starp stāviem, virs logiem un durvīm) vai iekštelpā.
sveļš	Svilinošs, kvēlains.
taiga	Veģetācijas tips, kurā dominē skujkoku meži (Eiropas, Āzijas, Amerikas kontinenta mērenajās zonās, kalnos); šāda veģetācijas tipa mežs.
toška	Neveikla, tūļīga sieviete, kam neveicas darbi; arī nekārtīga sieviete; tūļa.
vords	Vārds.
bodrs	Možs, mundrs.
somma	Vecā vulkāna kalderas sienas, kas kā valnis apjož jauno vulkānu.
satis	Diezgan.
proha	Maizes kukulis.
dusma	Dusmas, sašutums.
kleša	Ezoterismā tas, no kā cilvēkam jāatbrīvojas, pirms viņš spēj izrauties no dzimšanas, dzīvošanas, miršanas un atdzimšanas loka.
kutba	Ināma teiktais tradicionālais piektdienas sprediķis.
labia	Kukaiņu klases ādspārņu kārtas ģints.
lamma	Liela, slaucama aita.
liekš	Savienojumā ar darbības vārda "liekt" formām norāda uz darbības pastiprinājumu.
kodls	Kurls.
koira	Šķiedra, kas iegūta no "Cocos nucifera" auga augļu apvalka; kokosšķiedra.
ķērna	Sviesta kuļamā ierīce.
broņa	Nodrošinājums.
asons	Maģisks grabulis, vudū kulta priestera varas simbols; to izgatavo no izdobta ķirbja (kalebasa) un izgrezno ar čūskas mugurkaula skriemeļiem un mākslīgām pērlēm, veidojot dažādus zīmējumus.
pāzma	Šķiedra, šķipsna.
uzuss	Paraža, paradums.
polšs	Puslitra pudele ar degvīnu.
maķis	Guļava.
ators	Atvars.
alcea	Kāršrozes - malvu dzimtas ģints.
noeja	Vieta, kas paredzēta nokļūšanai kur lejā.
