dowve	A dove.
fomes	Any substance supposed to be capable of absorbing, retaining, and transporting contagious or infectious germs; as, woolen clothes are said to be active fomites.
lapel	That part of a garment which is turned back; specifically, the lap, or fold, of the front of a coat in continuation of collar.
mutch	The close linen or muslin cap of an old woman.
thole	A wooden or metal pin, set in the gunwale of a boat, to serve as a fulcrum for the oar in rowing.
brame	Sharp passion; vexation.
conic	A conic section.
drupe	A fruit consisting of pulpy, coriaceous, or fibrous exocarp, without valves, containing a nut or stone with a kernel. The exocarp is succulent in the plum, cherry, apricot, peach, etc.; dry and subcoriaceous in the almond; and fibrous in the cocoanut.
guara	A large-maned wild dog of South America (Canis jubatus) -- named from its cry.
hyrax	Any animal of the genus Hyrax, of which about four species are known.  They constitute the order Hyracoidea.  The best known species are the daman (Hyrax Syriacus) of Palestine, and the klipdas (Hyrax capensis) of South Africa.  Other species are Hyrax arboreus and Hyrax Sylvestris, the former from Southern, and the latter from Western, Africa. See Daman.
siaga	The ahu, or jairou.
slack	The part of anything that hangs loose, having no strain upon it; as, the slack of a rope or of a sail.
truth	The quality or being true; as: -- (a) Conformity to fact or reality; exact accordance with that which is, or has been; or shall be.
alban	A white crystalline resinous substance extracted from gutta-percha by the action of alcohol or ether.
bingo	a game commonly used for low-stakes gambling, in which numbered balls or slips are drawn at random and players cover the correponding numbers on their cards, called Bingo cards, which have square arrangement of such numbers.  Each card has a different arrangement of the numbers, and the first player to cover all numbers in one row (horizontal, vertical, or diagonal) is the winner, usually announcing that fact by a cry of <ldquo/Bingo!<rdquo/
vital	A vital part; one of the vitals.
knits	Small particles of ore.
onion	A liliaceous plant of the genus Allium (Allium cepa), having a strong-flavored bulb and long hollow leaves; also, its bulbous root, much used as an article of food.  The name is often extended to other species of the genus.
werst	See Verst.
cabin	A cottage or small house; a hut.
kweek	A trailing grass (Cynodon dactylon) native to Europe, now cosmopolitan in warm regions; used for lawns and pastures especially in the Southern U. S. and India.  Called also Bahama grass and Bermuda grass.
icaco	A small tropical American tree (Chrysobalanus icaco) bearing edible plumlike fruit.
jesse	A candlestick with many branches, each of which bears the name of some one of the descendants of Jesse; -- called also  tree of Jesse.
laura	A number of hermitages or cells in the same neighborhood occupied by anchorites who were under the same superior.
smack	Same as heroin; -- a slang term.
argol	Crude tartar; an acidulous salt from which cream of tartar is prepared. It exists in the juice of grapes, and is deposited from wines on the sides of the casks.
flame	To burn with a flame or blaze; to burn as gas emitted from bodies in combustion; to blaze.
sharp	A sharp tool or weapon.
silly	Happy; fortunate; blessed.
fidge	See Fidget.
gabel	A rent, service, tribute, custom, tax, impost, or duty; an excise.
nisey	A simpleton.
rotta	See Rota.
wheft	See Waft, n., 4.
attic	A room or rooms behind that part of the exterior; all the rooms immediately below the roof.
kemps	The long flower stems of the ribwort plantain (Plantago Lanceolata).
feeze	Fretful excitement. [Obs.] See Feaze.
merus	See Meros.
oxide	A binary compound of oxygen with an atom or radical, or a compound which is regarded as binary; as, iron oxide, ethyl oxide, nitrogen oxide, etc.
chuff	A coarse or stupid fellow.
elayl	Olefiant gas or ethylene; -- so called by Berzelius from its forming an oil combining with chlorine. [Written also elayle.] See Ethylene.
stook	A small collection of sheaves set up in the field; a shock; in England, twelve sheaves.
cilia	The eyelashes.
giust	Same as Joust.
tansy	Any plant of the composite genus Tanacetum. The common tansy (Tanacetum vulgare) has finely divided leaves, a strong aromatic odor, and a very bitter taste. It is used for medicinal and culinary purposes.
taxor	Same as Taxer, n., 2.
vexil	A vexillum.
agger	An earthwork; a mound; a raised work.
beach	Pebbles, collectively; shingle.
lapps	A branch of the Mongolian race, now living in the northern parts of Norway, Sweden, and the adjacent parts of Russia.
satin	A silk cloth, of a thick, close texture, and overshot woof, which has a glossy surface.
chufa	A sedgelike plant (Cyperus esculentus) producing edible tubers, native about the Mediterranean, now cultivated in many regions; the earth almond.
hydro	A hydro-a<eum/roplane.
hindi	The name given by Europeans to that form of the Hindustani language which is chiefly spoken by native Hindus. In employs the Devanagari character, in which Sanskrit is written.
sophi	See Sufi.
pirai	Same as Piraya.
ducky	a special loved one; a darling; -- used as a term of endearment.
hubby	Husband.
panda	A small Asiatic mammal (Ailurus fulgens) having fine soft fur, which inhabits the mountains of Northern India.  It was once thought to be related to the bears, but is now believed to be more closely related to raccoons.  It has reddish-brown fur on the back and sides, and black fur on the legs and underside.  Called also the lesser panda.
tarin	The siskin.
airer	One who exposes to the air.
curia	The place where the meetings of the senate were held; the senate house.
shoot	The act of shooting; the discharge of a missile; a shot; as, the shoot of a shuttle.
track	A mark left by something that has passed along; as, the track, or wake, of a ship; the track of a meteor; the track of a sled or a wheel.
award	A judgment, sentence, or final decision. Specifically: The decision of arbitrators in a case submitted.
hours	Goddess of the seasons, or of the hours of the day.
shend	To injure, mar, spoil, or harm.
links	A tract of ground laid out for the game of golf; a golfing green.
maule	The common mallow.
prate	Talk to little purpose; trifling talk; unmeaning loquacity.
smell	The sense or faculty by which certain qualities of bodies are perceived through the instrumentally of the olfactory nerves. See Sense.
digue	A bank; a dike.
leman	A sweetheart, of either sex; a gallant, or a mistress; -- usually in a bad sense.
pewee	A common American tyrant flycatcher (Sayornis ph<oe/be, or Sayornis fuscus).  Called also pewit, and ph<oe/be.
macho	A form of dark matter in distant outer space unobservable except by its gravitational effect, and believed to be at least part of the <ldquo/missing matter<rdquo/ which is unobservable as ordinary stars, but helps keep galaxies from flying apart; MACHOS are massive but compact objects such as neutron stars or brown dwarfs, which can be detected (with difficulty) by their effect in bending light from distant light sources, such as other galaxies.  This can occur if by rare chance a MACHO passes in front of a more distant visible object, and the light from that object becomes temporarily amplified by the MACHO acting as a gravitational lens.  Some MACHOs have been discovered in the halo of dark matter that surrounds our milky way.  It is, however, questionable whether the amount of such matter is sufficient to explain the ability of galaxies to stay together in spite of rotation rates that would cause them to fly apart if the only matter present was that observable as visible stars.
ouzel	Same as Ousel.
sedge	Any plant of the genus Carex, perennial, endogenous, innutritious herbs, often growing in dense tufts in marshy places. They have triangular jointless stems, a spiked inflorescence, and long grasslike leaves which are usually rough on the margins and midrib. There are several hundred species.
crete	A Cretan
eloge	A panegyrical funeral oration.
ichor	An ethereal fluid that supplied the place of blood in the veins of the gods.
leven	Lightning.
local	A train which receives and deposits passengers or freight along the line of the road; a train for the accommodation of a certain district.
lythe	The European pollack; -- called also laith, and leet.
magot	The Barbary ape.
prion	any of several types of protein particle lacking nucleic acid, believed to be the cause of certain slow-developing infectious diseases such as scapie in sheep, and Creutzfeldt-Jakob disease and Kuru in humans.
ermit	A hermit.
griff	A person of mixed blood.
whist	A certain game at cards; -- so called because it requires silence and close attention. It is played by four persons (those who sit opposite each other being partners) with a complete pack of fifty-two cards. Each player has thirteen cards, and when these are played out, the hand is finished, and the cards are again shuffled and distributed.
varec	The calcined ashes of any coarse seaweed used for the manufacture of soda and iodine; also, the seaweed itself; fucus; wrack.
punka	A machine for fanning a room, usually a movable fanlike frame covered with canvas, and suspended from the ceiling. It is kept in motion by pulling a cord.
salse	A mud volcano, the water of which is often impregnated with salts, whence the name.
banjo	A stringed musical instrument having a head and neck like the guitar, and a circular body like a tambourine.  It has five strings, and is played with the fingers and hands.
dream	To have ideas or images in the mind while in the state of sleep; to experience sleeping visions; -- often with of; as, to dream of a battle, or of an absent friend.
paspy	A kind of minuet, in triple time, of French origin, popular in the reign of Queen Elizabeth and for some time after; -- called also passing measure, and passymeasure.
cutis	See Dermis.
joker	One who makes jokes or jests.
seint	A saint.
spade	An implement for digging or cutting the ground, consisting usually of an oblong and nearly rectangular blade of iron, with a handle like that of a shovel.
sylva	Same as Silva.
terra	The earth; earth.
cause	To effect as an agent; to produce; to be the occasion of; to bring about; to bring into existence; to make; -- usually followed by an infinitive, sometimes by that with a finite verb.
hoboy	A hautboy or oboe.
mango	The fruit of the mango tree. It is rather larger than an apple, and of an ovoid shape. Some varieties are fleshy and luscious, and others tough and tasting of turpentine. The green fruit is pickled for market.
screw	A cylinder, or a cylindrical perforation, having a continuous rib, called the thread, winding round it spirally at a constant inclination, so as to leave a continuous spiral groove between one turn and the next, -- used chiefly for producing, when revolved, motion or pressure in the direction of its axis, by the sliding of the threads of the cylinder in the grooves between the threads of the perforation adapted to it, the former being distinguished as the external, or male screw, or, more usually the screw; the latter as the internal, or female screw, or, more usually, the nut.
caste	One of the hereditary classes into which the Hindu are divided according to the laws of Brahmanism.
junta	A council; a convention; a tribunal; an assembly; esp., the grand council of state in Spain.
jewry	Judea; also, a district inhabited by Jews; a Jews' quarter.
orgal	See Argol.
appui	A support or supporter; a stay; a prop.
hanky	Same as handkerchief.
flong	A compressed mass of paper sheets, forming a matrix or mold for stereotype plates.
covey	A pantry.
costa	A rib of an animal or a human being.
stead	Place, or spot, in general.
visne	Neighborhood; vicinity; venue.  See Venue.
curat	A cuirass or breastplate.
macer	A mace bearer; an officer of a court.
raker	A gun so placed as to rake an enemy's ship.
toise	An old measure of length in France, containing six French feet, or about 6.3946 French feet.
vomit	To eject the contents of the stomach by the mouth; to puke; to spew.
kinit	A unit of force equal to the force which, acting for one second, will give a pound a velocity of one foot per second; -- proposed by J. D. Everett, an English physicist.
nagor	A West African gazelle (Gazella redunca).
cello	A contraction for Violoncello.
dowry	A gift; endowment.
mopus	A mope; a drone.
rower	One who rows with an oar.
tibia	The inner, or preaxial, and usually the larger, of the two bones of the leg or hind limb below the knee.
vifda	In the Orkney and Shetland Islands, beef and mutton hung and dried, but not salted.
allyl	An organic radical, C3H5, existing especially in oils of garlic and mustard.
copra	The dried meat of the cocoanut, from which cocoanut oil is expressed.
zebub	A large noxious fly of Abyssinia, which like the tsetse fly, is destructive to cattle.
inkle	A kind of tape or braid.
sloth	Slowness; tardiness.
ferly	A wonder; a marvel.
cirio	the candlewood of Mexico and couthwestern California (Idria columnaris or Fouquieria columnaris), having tall columnar stems and bearing honey-scented creamy yellow flowers; -- called also the boojum tree.
flood	A great flow of water; a body of moving water; the flowing stream, as of a river; especially, a body of water, rising, swelling, and overflowing land not usually thus covered; a deluge; a freshet; an inundation.
bearn	See Bairn.
infix	Something infixed.
carve	A carucate.
short	A summary account.
roset	A red color used by painters.
sauce	A soft crayon for use in stump drawing or in shading with the stump.
serie	Series.
caaba	The small and nearly cubical stone building, toward which all Muslims must pray.
kreng	See Krang.
tardo	A sloth.
xylem	That portion of a fibrovascular bundle which has developed, or will develop, into wood cells; -- distinguished from phloem.
levin	Lightning.
magma	Any crude mixture of mineral or organic matters in the state of a thin paste.
peace	Reconciliation; agreement after variance; harmony; concord.
piend	See Peen.
rimer	A tool for shaping the rimes of a ladder.
runer	A bard, or learned man, among the ancient Goths.
sleet	Hail or snow, mingled with rain, usually falling, or driven by the wind, in fine particles.
glint	A glimpse, glance, or gleam.
graff	See Graft.
wakif	The person creating a wakf.
caulk	See Calk.
cetin	A white, waxy substance, forming the essential part of spermaceti.
calyx	The covering of a flower. See Flower.
purse	A small bag or pouch, the opening of which is made to draw together closely, used to carry money in; by extension, any receptacle for money carried on the person; a wallet; a pocketbook; a portemonnaie.
rifle	A gun, the inside of whose barrel is grooved with spiral channels, thus giving the ball a rotary motion and insuring greater accuracy of fire. As a military firearm it has superseded the musket.
stork	Any one of several species of large wading birds of the family Ciconidae, having long legs and a long, pointed bill.  They are found both in the Old World and in America, and belong to Ciconia and several allied genera.  The European white stork (Ciconia alba) is the best known.  It commonly makes its nests on the top of a building, a chimney, a church spire, or a pillar.  The black stork (Ciconia nigra) is native of Asia, Africa, and Europe.
hurry	The act of hurrying in motion or business; pressure; urgency; bustle; confusion.
ladin	A Romansch dialect spoken in some parts of Switzerland and the Tyrol.
paolo	An old Italian silver coin, worth about ten cents.
redan	A work having two parapets whose faces unite so as to form a salient angle toward the enemy.
trowl	See Troll.
venus	The goddess of beauty and love, that is, beauty or love deified.
cloth	A fabric made of fibrous material (or sometimes of wire, as in wire cloth); commonly, a woven fabric of cotton, woolen, or linen, adapted to be made into garments; specifically, woolen fabrics, as distinguished from all others.
ditch	A trench made in the earth by digging, particularly a trench for draining wet land, for guarding or fencing inclosures, or for preventing an approach to a town or fortress. In the latter sense, it is called also a moat or a fosse.
savoy	A variety of the common cabbage (Brassica oleracea major), having curled leaves, -- much cultivated for winter use.
smear	A fat, oily substance; oinment.
mount	A horse.
pansy	A plant of the genus Viola (Viola tricolor) and its blossom, originally purple and yellow.  Cultivated varieties have very large flowers of a great diversity of colors.  Called also heart's-ease, love-in-idleness, and many other quaint names.
stoma	One of the minute apertures between the cells in many serous membranes.
favus	A disease of the scalp, produced by a vegetable parasite.
hilus	Same as Hilum, 2.
donax	A canelike grass of southern Europe (Arundo Donax), used for fishing rods, etc.
fetus	The young or embryo of a vertebrate animal in the womb, or in the egg; often restricted to the later stages in the development of viviparous and oviparous animals. showing the main recognizable features of the mature animal, embryo being applied to the earlier stages.
globe	A round or spherical body, solid or hollow; a body whose surface is in every part equidistant from the center; a ball; a sphere.
idiot	A man in private station, as distinguished from one holding a public office.
lamel	See Lamella.
boeuf	meat from an adult domestic bovine.
brant	A species of wild goose (Branta bernicla) -- called also brent and brand goose. The name is also applied to other related species.
dagon	A slip or piece.
gamma	The third letter (<GAMMA/, <gamma/ = Eng. G) of the Greek alphabet.
radon	An intensely radioactive gaseous element produced by the radioactive decay of radium-226, which is the main isotope of radium found in pitchblende.  Chemically it is an inert noble gas.  Its atomic symbol is Rn. It has an atomic number of 86.  The radon isotope produced by decay of radium has an atomic weight of 222.017, and this isotope decays by alpha emission with a half-life of 3.82 days.  Numerous other isotopes have been observed, all radioactive and all having half-lives shorter than that of radon-222.  Radon was discovered by M. and Mme. Curie, of Paris, in their studies of the radioactive substances in pitchblende.  Radon was originally called  radium emanation or exradio.
sprew	Thrush.
catso	A base fellow; a rogue; a cheat.
chica	A red coloring matter. extracted from the Bignonia Chica, used by some tribes of South American Indians to stain the skin.
harre	A hinge.
manna	The food supplied to the Israelites in their journey through the wilderness of Arabia; hence, divinely supplied food.
shard	A piece or fragment of an earthen vessel, or a like brittle substance, as the shell of an egg or snail.
still	A vessel, boiler, or copper used in the distillation of liquids; specifically, one used for the distillation of alcoholic liquors; a retort. The name is sometimes applied to the whole apparatus used in in vaporization and condensation.
gorge	To swallow; especially, to swallow with greediness, or in large mouthfuls or quantities.
mouse	Any one of numerous species of small rodents belonging to the genus Mus and various related genera of the family Muridae.  The common house mouse (Mus musculus) is found in nearly all countries.  The American white-footed mouse, or deer mouse (Peromyscus leucopus, formerly Hesperomys leucopus) sometimes lives in houses.  See Dormouse, Meadow mouse, under Meadow, and Harvest mouse, under Harvest.
manto	See Manteau.
preve	Proof.
stone	To pelt, beat, or kill with stones.
gloam	The twilight; gloaming.
jurel	A yellow carangoid fish of the Atlantic and Gulf coasts (Caranx chrysos), most abundant southward, where it is valued as a food fish; -- called also hardtail, horse crevall<eacute/, jack, buffalo jack, skipjack, yellow mackerel, and sometimes, improperly, horse mackerel. Other species of Caranx (as Caranx fallax) are also sometimes called jurel.
human	A human being.
jaunt	A wearisome journey.
laund	A plain sprinkled with trees or underbrush; a glade.
offal	The rejected or waste parts of any process, especially the inedible parts of a butchered animal, such as the viscera.
smile	The act of smiling; a peculiar change or brightening of the face, which expresses pleasure, moderate joy, mirth, approbation, or kindness; -- opposed to frown.
araby	The country of Arabia.
craps	A gambling game with dice.  It is one of the more popular games in casinos.
tonus	Tonicity, or tone; as, muscular tonus.
tease	One who teases or plagues.
basto	The ace of clubs in quadrille and omber.
hoper	One who hopes.
quica	A small South American opossum (Didelphys quica), native of Guiana and Brazil. It feeds upon insects, small birds, and fruit.
alley	A choice taw or marble.
mense	Manliness; dignity; comeliness; civility.
kutch	See Catechu.
pinky	See 1st Pink.
scall	A scurf or scabby disease, especially of the scalp.
tisar	The fireplace at the side of an annealing oven.
zamia	A genus of cycadaceous plants, having the appearance of low palms, but with exogenous wood.  See Coontie, and Illust. of Strobile.
blore	The act of blowing; a roaring wind; a blast.
hyson	A fragrant kind of green tea.
loupe	Any of a variety of small magnifying glasses, having a magnifying power from 2X to 20X, commonly of 10X, which may be held in the hand, or in some cases held within the eyesocket without the use of a hand.  It is commonly used by jewelers and watchmakers.
scrag	Something thin, lean, or rough; a bony piece; especially, a bony neckpiece of meat; hence, humorously or in contempt, the neck.
wango	A boomerang.
culex	A genus of mosquitoes of the family Culicidae, to which most of the North American species belong.  Some members of this genus are exceedingly annoying, as Culex sollicitans, which breeds in enormous numbers in the salt marshes of the Atlantic coast, and Culex pipiens, the common house mosquito, breeding very widely in the fresh waters of North America. (For characters distinguishing these from the malaria mosquitoes, see Anopheles, above).  The yellow-fever mosquito is now placed in another genus, Stegomyia.
cedar	The name of several evergreen trees.  The wood is remarkable for its durability and fragrant odor.
groat	An old English silver coin, equal to four pence.
aroph	A barbarous word used by the old chemists to designate various medical remedies.
droit	A right; law in its aspect of the foundation of rights; also, in old law, the writ of right.
cates	Provisions; food; viands; especially, luxurious food; delicacies; dainties.
alpha	The first letter in the Greek alphabet, answering to A, and hence used to denote the beginning.
carry	A tract of land, over which boats or goods are carried between two bodies of navigable water; a carrying place; a portage.
glyph	A sunken channel or groove, usually vertical. See Triglyph.
pampa	A plain.  See pampas.
anker	A liquid measure in various countries of Europe. The Dutch anker, formerly also used in England, contained about 10 of the old wine gallons, or 8<frac12/ imperial gallons.
bicho	See Jigger.
arara	The palm (or great black) cockatoo, of Australia (Microglossus aterrimus).
honor	To regard or treat with honor, esteem, or respect; to revere; to treat with deference and submission; when used of the Supreme Being, to reverence; to adore; to worship.
bourd	A jest.
decad	A decade.
hater	One who hates.
oxbow	A frame of wood, bent into the shape of the letter U, and embracing an ox's neck as a kind of collar, the upper ends passing through the bar of the yoke; also, anything so shaped, as a bend in a river.
shern	See Shearn.
tapis	Tapestry; formerly, the cover of a council table.
alogy	Unreasonableness; absurdity.
arval	A funeral feast.
whurt	See Whort.
caple	See Capel.
gusto	Nice or keen appreciation or enjoyment; relish; taste; fancy; as, he ate it with gusto.
resin	Any one of a class of yellowish brown solid inflammable substances, of vegetable origin, which are nonconductors of electricity, have a vitreous fracture, and are soluble in ether, alcohol, and essential oils, but not in water; specif., pine resin (see Rosin).
shawm	A wind instrument of music, formerly in use, supposed to have resembled either the clarinet or the hautboy in form.
troll	The act of moving round; routine; repetition.
virus	Contagious or poisonous matter, as of specific ulcers, the bite of snakes, etc.; -- applied to organic poisons.
argas	A genus of venomous ticks which attack men and animals.  The famous Persian Argas, also called Miana bug, is Argas Persicus; that of Central America, called talaje by the natives, is Argas Talaje.
clack	A sharp, abrupt noise, or succession of noises, made by striking an object.
blame	An expression of disapprobation fir something deemed to be wrong; imputation of fault; censure.
lease	A demise or letting of lands, tenements, or hereditaments to another for life, for a term of years, or at will, or for any less interest than that which the lessor has in the property, usually for a specified rent or compensation.
letts	An Indo-European people, allied to the Lithuanians and Old Prussians, and inhabiting a part of the Baltic provinces of Russia.
serai	A palace; a seraglio; also, in the East, a place for the accommodation of travelers; a caravansary, or rest house.
stulm	A shaft or gallery to drain a mine.
twirl	The act of twirling; a rapid circular motion; a whirl or whirling; quick rotation.
brunt	The heat, or utmost violence, of an onset; the strength or greatest fury of any contention; as, the brunt of a battle.
booty	That which is seized by violence or obtained by robbery, especially collective spoil taken in war; plunder; pillage.
meter	A line above or below a hanging net, to which the net is attached in order to strengthen it.
skute	A boat; a small vessel.
skulk	A number of foxes together.
emmet	An ant.
flare	Leaf of lard.
irade	A decree of the Sultan.
sibyl	A woman supposed to be endowed with a spirit of prophecy.
scoop	To take out or up with, a scoop; to lade out.
socle	A plain face or plinth at the lower part of a wall.
adobo	a Philippine dish of marinated vegetables and meat or fish; served with rice.
ambry	In churches, a kind of closet, niche, cupboard, or locker for utensils, vestments, etc.
shout	A loud burst of voice or voices; a vehement and sudden outcry, especially of a multitudes expressing joy, triumph, exultation, or animated courage.
close	An inclosed place; especially, a small field or piece of land surrounded by a wall, hedge, or fence of any kind; -- specifically, the precinct of a cathedral or abbey.
orvet	The blindworm.
piler	One who places things in a pile.
swish	A sound of quick movement, as of something whirled through the air.
salon	An apartment for the reception of company; hence, in the plural, fashionable parties; circles of fashionable society.
scare	Fright; esp., sudden fright produced by a trifling cause, or originating in mistake.
sorgo	Indian millet and its varieties. See Sorghum.
crane	A wading bird of the genus Grus, and allied genera, of various species, having a long, straight bill, and long legs and neck.
macro	a single computer instruction which symbolizes, and is converted at the time of program execution or by a compiler into, a series of instructions in the same computer language.
nabob	A deputy or viceroy in India; a governor of a province of the ancient Mogul empire.
skirt	The lower and loose part of a coat, dress, or other like garment; the part below the waist; as, the skirt of a coat, a dress, or a mantle.
young	The offspring of animals, either a single animal or offspring collectively.
funny	A clinkerbuit, narrow boat for sculling.
filly	A female foal or colt; a young mare.  Cf. Colt, Foal.
umbre	See Umber.
worst	That which is most bad or evil; the most severe, pernicious, calamitous, or wicked state or degree.
aldol	A colorless liquid, C4H8O2, obtained by condensation of two molecules of acetaldehyde: CH3CHO + CH3CHO = H3CH(OH)CH2CO; also, any of various derivatives of this. The same reaction has been applied, under the name of aldol condensation, to the production of many compounds.
knave	A boy; especially, a boy servant.
romic	A method of notation for all spoken sounds, proposed by Mr. Sweet; -- so called because it is based on the common Roman-letter alphabet. It is like the palaeotype of Mr. Ellis in the general plan, but simpler.
skirr	A tern.
shide	A thin board; a billet of wood; a splinter.
arete	An acute and rugged crest of a mountain range or a subsidiary ridge between two mountain gorges.
fitch	The European polecat; also, its fur.
hands	a person's power or discretionary action; as, my fate is in your hands.
hertz	a unit of frequency equal to one cycle per second; it is abbreviated Hz.  It is commonly used to specify the frequency of radio waves, and also the clock frequencies in digital computers.  For these applications, kilohertz and megahertz are the most commonly used units, derived from hertz.
middy	A colloquial abbreviation of midshipman.
peage	See Paage.
prior	a prior conviction; -- said of an accused criminal.
quill	One of the large feathers of a bird's wing, or one of the rectrices of the tail; also, the stock of such a feather.
bonus	A premium given for a loan, or for a charter or other privilege granted to a company; as the bank paid a bonus for its charter.
heben	Ebony.
kiang	The dziggetai.
pulpy	Like pulp; consisting of pulp; soft; fleshy; succulent; as, the pulpy covering of a nut; the pulpy substance of a peach or a cherry.
sweet	Home-made wines, cordials, metheglin, etc.
compt	Account; reckoning; computation.
fight	A battle; an engagement; a contest in arms; a combat; a violent conflict or struggle for victory, between individuals or between armies, ships, or navies, etc.
harpy	A fabulous winged monster, ravenous and filthy, having the face of a woman and the body of a vulture, with long claws, and the face pale with hunger.  Some writers mention two, others three.
orpin	A yellow pigment of various degrees of intensity, approaching also to red.
zebec	See Xebec.
diota	A vase or drinking cup having two handles or ears.
ganil	A kind of brittle limestone.
lipyl	A hypothetical radical of glycerin.
urith	The bindings of a hedge.
bemol	The sign <flat/; the same as B flat.
climb	The act of one who climbs; ascent by climbing.
nates	The two anterior of the four lobes on the dorsal side of the midbrain of most mammals; the anterior optic lobes.
frame	Anything composed of parts fitted and united together; a fabric; a structure; esp., the constructional system, whether of timber or metal, that gives to a building, vessel, etc., its model and strength; the skeleton of a structure.
media	One of the sonant mutes <beta/, <delta/, <gamma/ (b, d, g), in Greek, or of their equivalents in other languages, so named as intermediate between the tenues, <pi/, <tau/, <kappa/ (p, t, k), and the aspiratae  (aspirates) <phi/, <theta/, <chi/ (ph or f, th, ch). Also called middle mute, or medial, and sometimes soft mute.
dhony	A Ceylonese boat. See Doni.
pearl	A shelly concretion, usually rounded, and having a brilliant luster, with varying tints, found in the mantle, or between the mantle and shell, of certain bivalve mollusks, especially in the pearl oysters and river mussels, and sometimes in certain univalves.  It is usually due to a secretion of shelly substance around some irritating foreign particle.  Its substance is the same as nacre, or mother-of-pearl.
pryan	See Prian.
paint	The same prepared with a vehicle, as oil, water with gum, or the like, for application to a surface.
quant	A punting pole with a broad flange near the end to prevent it from sinking into the mud; a setting pole.
chyle	A milky fluid containing the fatty matter of the food in a state of emulsion, or fine mechanical division; formed from chyme by the action of the intestinal juices. It is absorbed by the lacteals, and conveyed into the blood by the thoracic duct.
linen	Thread or cloth made of flax or (rarely) of hemp; -- used in a general sense to include cambric, shirting, sheeting, towels, tablecloths, etc.; as, bed linens
blaze	A stream of gas or vapor emitting light and heat in the process of combustion; a bright flame.
crest	A tuft, or other excrescence or natural ornament, growing on an animal's head; the comb of a cock; the swelling on the head of a serpent; the lengthened feathers of the crown or nape of bird, etc.
extra	Something in addition to what is due, expected, or customary; esp., an added charge or fee, or something for which an additional charge is made; as, at some hotels air conditioning is an extra.
flunk	a total failure in a recitation.
rajah	A native prince or king; also, a landholder or person of importance in the agricultural districts.
azide	any chemical compound containing the azido group -N3, such as sodium azide (ionic and inorganic) or ethyl azide (organic and nonionic).
affix	That which is affixed; an appendage; esp. one or more letters or syllables added at the end of a word; a suffix; a postfix.
dphil	Doctor of Philosophy, a British doctorate.
yeara	The California poison oak (Rhus diversiloba).  See under Poison, a.
cutch	See Cultch.
feoff	A fief. See Fief.
brill	A fish allied to the turbot (Rhombus levis), much esteemed in England for food; -- called also bret, pearl, prill. See Bret.
corve	See Corf.
pipit	Any one of numerous species of small singing birds belonging to Anthus and allied genera, of the family Motacillid<ae/. They strongly resemble the true larks in habits, colors, and the great length of the hind claw. They are, therefore, often called titlarks, and pipit larks.
tikus	The bulau.
asura	An enemy of the gods, esp. one of a race of demons and giants.
shelf	A flat tablet or ledge of any material set horizontally at a distance from the floor, to hold objects of use or ornament.
pekoe	A kind of black tea.
piece	A fragment or part of anything separated from the whole, in any manner, as by cutting, splitting, breaking, or tearing; a part; a portion; as, a piece of sugar; to break in pieces.
scant	Scantness; scarcity.
coomb	A dry measure of four bushels, or half a quarter.
judas	Treacherous; betraying.
kedge	A small anchor used whenever a large one can be dispensed with. See Kedge, v. t., and Anchor, n.
moire	A watered, clouded, or frosted appearance on textile fabrics or metallic surfaces.
stein	See Steen.
ennui	A feeling of weariness and disgust; dullness and languor of spirits, arising from satiety or want of interest; tedium.
fault	Defect; want; lack; default.
lapse	A gliding, slipping, or gradual falling; an unobserved or imperceptible progress or passing away,; -- restricted usually to immaterial things, or to figurative uses.
negro	A black man; especially, one of a race of black or very dark persons who inhabit the greater part of tropical Africa, and are distinguished by crisped or curly hair, flat noses, and thick protruding lips; also, any black person of unmixed African blood, wherever found.
swarf	The grit worn away from grindstones in grinding cutlery wet.
verso	The reverse, or left-hand, page of a book or a folded sheet of paper; -- opposed to recto.
array	To place or dispose in order, as troops for battle; to marshal.
alosa	the genus comprising the most common varieties of shad.  It replaces the older term Clupea.  See also shad.
deeds	performance of moral or religious acts; salvation is not by deeds, but by faith; to do good deeds.
mower	One who, or that which, mows; a mowing machine; as, a lawn mower.
morro	A round hill or point of land; hence, Morro castle, a castle on a hill.
proxy	The agency for another who acts through the agent; authority to act for another, esp. to vote in a legislative or corporate capacity.
sneap	A reprimand; a rebuke.
bulti	Same as Bolty.
dinar	A petty money of accounts of Persia; 100 dinars consituted a rial.
trias	The formation situated between the Permian and Lias, and so named by the Germans, because consisting of three series of strata, which are called in German the Bunter sandstein, Muschelkalk, and Keuper.
nidor	Scent or savor of meat or food, cooked or cooking.
rodeo	A round-up. See Round-up.
prore	The prow or fore part of a ship.
hanap	A rich goblet, esp. one used on state occasions.
opera	A drama, either tragic or comic, of which music forms an essential part; a drama wholly or mostly sung, consisting of recitative, arias, choruses, duets, trios, etc., with orchestral accompaniment, preludes, and interludes, together with appropriate costumes, scenery, and action; a lyric drama.
quest	To search for; to examine.
slows	Milk sickness.
alibi	The plea or mode of defense under which a person on trial for a crime proves or attempts to prove that he was in another place when the alleged act was committed; as, to set up an alibi; to prove an alibi.
durga	Same as Doorga.
spiny	See Spinny.
booth	A house or shed built of boards, boughs, or other slight materials, for temporary occupation.
ceibo	a small South American spiny tree (Erythrina crista-galli) with dark crimson and scarlet flowers solitary or clustered.
